"Manufacturer Part Number","Digi-Key Part Number","Quantity","Unit Price","Extended Price","Description"
"ECA-1JM101","P5193-ND","2","0.31000","£0.62","CAP ALUM 100UF 20% 63V RADIAL"
"K104K10X7RF5UH5","BC2665CT-ND","1","0.18000","£0.18","CAP CER 0.1UF 50V X7R RADIAL"
"PJ-202A","CP-202A-ND","1","0.48000","£0.48","CONN PWR JACK 2X5.5MM KINKED PIN"
"151031YS06000","732-5010-ND","1","0.14000","£0.14","LED YELLOW DIFF 3MM ROUND T/H"
"151031VS06000","732-5008-ND","1","0.13000","£0.13","LED GREEN DIFFUSED 3MM ROUND T/H"
"SBH11-PBPC-D07-ST-BK","S9170-ND","2","0.31000","£0.62","CONN HEADER 2.54MM 14POS GOLD"
"PREC002SAAN-RC","S1012EC-02-ND","1","0.05000","£0.05","CONN HEADER .100"" SNGL STR 2POS"
"QPC02SXGN-RC","S9337-ND","1","0.08000","£0.08","CONN JUMPER SHORTING .100"" GOLD"
"B5B-XH-A(LF)(SN)","455-2270-ND","4","0.20000","£0.80","CONN HEADER XH TOP 5POS 2.5MM"
"PREC040SAAN-RC","S1012EC-40-ND","2","0.40000","£0.80","CONN HEADER .100"" SNGL STR 40POS"
"CF14JT2K20","CF14JT2K20CT-ND","1","0.08000","£0.08","RES 2.2K OHM 1/4W 5% AXIAL"
"CF14JT47K0","CF14JT47K0CT-ND","5","0.08000","£0.40","RES 47K OHM 1/4W 5% AXIAL"
"CF14JT220R","CF14JT220RCT-ND","1","0.08000","£0.08","RES 220 OHM 1/4W 5% AXIAL"
"CF14JT470R","CF14JT470RCT-ND","1","0.08000","£0.08","RES 470 OHM 1/4W 5% AXIAL"
"PPPC032LFBN-RC","S7106-ND","1","0.48000","£0.48","CONN HEADER FMAL 6PS .1"" DL GOLD"
"MIC5842YN","576-1309-ND","2","2.23000","£4.46","IC DRVR LATCH 8BIT SER IN 18DIP"
"SN74HC165N","296-8251-5-ND","1","0.38000","£0.38","IC 8-BIT SHIFT REGISTER 16-DIP"
"1655","1528-1104-ND","4","3.52000","£14.08","ADDRESS LED DISCR SER RGB 1=10"
"AH3391Q-P-B","AH3391Q-P-BDI-ND","4","0.79000","£3.16","MAGNETIC SWITCH UNIPOLAR 3SIP"
"9027","469-1027-ND","4","0.32000","£1.28","MAGNET CYLINDRICAL NDFEB AXIAL"
"H3CCS-1418G","H3CCS-1418G-ND","1","1.06000","£1.06","IDC CBL - HHKC14S/AE14G/HHKC14S"
